Job Title,Job Type,Company Name,Posted Date,Cities,States,Start Date,Duration,Numer of Openings,Late date to apply,Stipend_num
IT & E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2023-10-06 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2023-11-12 00:00:00,10000.0
WATER AND USED WATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",2023-10-06 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,6,2023-11-12 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2023-10-16 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2023-11-12 00:00:00,10000.0
CAPACITY BUILDING AND URBAN REFORMS,Full Time,"State Mission Management Unit, AMRUT Kerala",2023-10-19 00:00:00,Thiruvananthapuram,Kerala,Immediately,7 Months,1,2023-11-12 00:00:00,10000.0
IT & E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC,Full Time,Punjab Municipal Infrastructure Development Company,2023-12-15 00:00:00,Chandigarh,Punjab,Immediately,6 Months,2,2024-01-13 00:00:00,12000.0
CAPACITY BUILDING INTERN REQUIRED AT CHANDIGARH,Full Time,Punjab Municipal Infrastructure Development Company,2024-02-15 00:00:00,Chandigarh,Punjab,Immediately,6 Months,1,2024-02-18 00:00:00,12000.0
ENVIRONMENTAL ASSISTANT  INTERN,Full Time,Punjab Municipal Infrastructure Development Company,2024-02-26 00:00:00,Chandigarh,Punjab,Immediately,6 Months,1,2024-02-28 00:00:00,12000.0
MUNICIPAL FINANCE,Full Time,Kannur Municipal Corporation,2024-02-29 00:00:00,Kannur,Kerala,Immediately,6 Months,1,2024-03-09 00:00:00,10000.0
REJUVENATION & RENOVATION OF POND PROJECTSS UNDER AMRUT SCHEME,Full Time,Chas Municipal Corporation,2024-06-04 00:00:00,Bokaro,Jharkhand,Immediately,8 Weeks,2,2024-06-28 00:00:00,5000.0
FINANCE INTERN,Full Time,Thrissur Municipal Corporation,2024-06-18 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2024-07-12 00:00:00,10000.0
CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,2024-06-18 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2025-01-25 00:00:00,10000.0
"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,2024-06-25 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2024-07-30 00:00:00,10000.0
INTERNSHIP UNDER TULIP SCHEME IN AMRUT CELL,Full Time,Punjab Municipal Infrastructure Development Company,2024-06-25 00:00:00,Chandigarh,Punjab,Immediately,6 Months,1,2024-06-28 00:00:00,12000.0
WATER AND WASTE WATER,Full Time,Kozhikode Municipal Corporation,2024-07-01 00:00:00,Calicut,Kerala,Immediately,12 Months,1,2024-09-07 00:00:00,10000.0
URBAN PLANNING  (INTERN),Full Time,Kozhikode Municipal Corporation,2024-07-01 00:00:00,Calicut,Kerala,Immediately,12 Months,1,2024-09-07 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,Kozhikode Municipal Corporation,2024-07-01 00:00:00,Calicut,Kerala,Immediately,12 Months,1,2024-09-07 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,Guruvayur Municipality,2024-07-22 00:00:00,Guruvayur,Kerala,Immediately,6 Months,1,2024-08-03 00:00:00,10000.0
WATER AND WASTE WATER,Full Time,Guruvayur Municipality,2024-07-22 00:00:00,Guruvayur,Kerala,Immediately,6 Months,2,2024-08-03 00:00:00,10000.0
WATER AND WASTE WATER TREATMENT,Full Time,Alappuzha Municipality,2024-07-22 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2024-08-06 00:00:00,10000.0
FINANCE INTERN,Full Time,Thrissur Municipal Corporation,2024-08-05 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2024-08-12 00:00:00,10000.0
CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,2024-08-05 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2024-08-12 00:00:00,10000.0
WATER AND WASTE WATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",2024-08-13 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,6,2024-09-30 00:00:00,10000.0
IT AND E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2024-08-13 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,2,2024-08-31 00:00:00,10000.0
CAPACITY BUILDING AND URBAN REFORMS,Full Time,"State Mission Management Unit, AMRUT Kerala",2024-08-13 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2024-09-30 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2024-08-13 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2024-09-30 00:00:00,10000.0
CIVIL ENGINEER (INTERN),Full Time,MUNCIPAL COUNCIL SUNDERNAGAR,2024-10-03 00:00:00,Sundernagar,Himachal Pradesh,Immediately,12 Months,2,2024-10-13 00:00:00,10000.0
"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,2024-10-10 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2024-10-31 00:00:00,10000.0
URBAN PLANNER (INTERN),Full Time,Guruvayur Municipality,2024-11-29 00:00:00,Guruvayur,Kerala,Immediately,12 Months,1,2024-12-03 00:00:00,10000.0
WATER AND WASTE WATER TREATMENT,Full Time,Thrissur Municipal Corporation,2024-12-13 00:00:00,Thrissur,Kerala,Immediately,6 Months,2,2024-12-27 00:00:00,10000.0
WATER AND WASTE WATER,Full Time,Kollam Municipal Corporation,2024-12-19 00:00:00,Kollam,Kerala,Immediately,12 Months,2,2025-02-15 00:00:00,10000.0
E-GOVERNANCE INTERNS IN MSEVA PROJECT OF PMIDC,Full Time,Punjab Municipal Infrastructure Development Company,2025-01-01 00:00:00,Chandigarh,Punjab,Immediately,6 Months,2,2025-02-18 00:00:00,12000.0
CIVIL ENGINEER (INTERN),Full Time,Thrissur Municipal Corporation,2025-01-14 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2025-01-25 00:00:00,10000.0
MUNICIPAL FINANCE,Full Time,Alappuzha Municipality,2025-02-11 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2025-02-19 00:00:00,10000.0
"URBAN PLANNING, PROVISION OF URBAN AMENITIES, FACILITIES AND REFORMS",Full Time,Alappuzha Municipality,2025-03-15 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2025-03-21 00:00:00,10000.0
WATER AND WASTE WATER TREATMENT,Full Time,Alappuzha Municipality,2025-03-15 00:00:00,Alappuzha,Kerala,Immediately,6 Months,1,2025-03-21 00:00:00,10000.0
WATER AND WASTE WATER,Full Time,Kannur Municipal Corporation,2025-05-14 00:00:00,Kannur,Kerala,Immediately,12 Months,1,2025-06-03 00:00:00,10000.0
URBAN PLANNING  (INTERN),Full Time,Kannur Municipal Corporation,2025-05-14 00:00:00,Kannur,Kerala,Immediately,12 Months,1,2025-06-03 00:00:00,10000.0
WATER AND WASTEWATER TREATMENT,Full Time,"State Mission Management Unit, AMRUT Kerala",2025-05-24 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,4,2025-07-14 00:00:00,10000.0
IT AND E-GOVERNANCE,Full Time,"State Mission Management Unit, AMRUT Kerala",2025-05-24 00:00:00,Thiruvananthapuram,Kerala,Immediately,6 Months,1,2025-06-16 00:00:00,10000.0
ODISHA URBAN ACADEMY,Full Time,Housing and Urban development Department Odisha,2025-06-24 00:00:00,Bhubaneswar,Odisha,Immediately,12 Months,1,2025-06-24 00:00:00,15000.0
WATER AND WASTE WATER,Full Time,Thrissur Municipal Corporation,2025-06-30 00:00:00,Thrissur,Kerala,Immediately,6 Months,2,2025-07-10 00:00:00,10000.0
FINANCE INTERN,Full Time,Thrissur Municipal Corporation,2025-06-30 00:00:00,Thrissur,Kerala,Immediately,6 Months,1,2025-07-10 00:00:00,10000.0
